,operating_load,ambient_temperature,temperature,vibration,pressure,rpm,motor_current,acoustic_level,flow_rate,hours_since_maintenance,anomaly
operating_load,1.0,-0.014168804533785362,0.8116171548950646,0.5296494266894818,0.714610127823134,0.9483400331434036,0.9463848980374061,0.7685627560980823,-0.5599787839506017,0.008437565061169204,0.03662564766054059
ambient_temperature,-0.014168804533785362,1.0,0.16785826568913106,-0.00011879651331166086,-0.015197059664811068,-0.01033980249395062,-0.001079387286981208,-0.01173847806640624,0.0036038633709037883,-0.009337719020957126,0.009781367165301074
temperature,0.8116171548950646,0.16785826568913106,1.0,0.4460360792551815,0.5553146298777172,0.7682399008076685,0.8046799983620142,0.6135442602110723,-0.44714474659960396,0.01816369365124842,0.1922784714101616
vibration,0.5296494266894818,-0.00011879651331166086,0.4460360792551815,1.0,0.32780176367089087,0.5318144879748192,0.5102746813054408,0.6960270886352061,-0.2983002521693709,0.2709998106077543,0.5058860675328369
pressure,0.714610127823134,-0.015197059664811068,0.5553146298777172,0.32780176367089087,1.0,0.6797059697210996,0.6702025445329294,0.5515162112697886,-0.15675021379335494,-0.010925532903590747,-0.20712281256710874
rpm,0.9483400331434036,-0.01033980249395062,0.7682399008076685,0.5318144879748192,0.6797059697210996,1.0,0.8956378995322615,0.7295726062679412,-0.5284182803782536,0.008156486550593204,0.08734307540513989
motor_current,0.9463848980374061,-0.001079387286981208,0.8046799983620142,0.5102746813054408,0.6702025445329294,0.8956378995322615,1.0,0.7248923211461109,-0.5270075767980057,0.016700494749655737,0.07005844925361501
acoustic_level,0.7685627560980823,-0.01173847806640624,0.6135442602110723,0.6960270886352061,0.5515162112697886,0.7295726062679412,0.7248923211461109,1.0,-0.4317553818872505,0.07398992394905621,0.23497170563027628
flow_rate,-0.5599787839506017,0.0036038633709037883,-0.44714474659960396,-0.2983002521693709,-0.15675021379335494,-0.5284182803782536,-0.5270075767980057,-0.4317553818872505,1.0,-0.013256116746405505,-0.1829927263772467
hours_since_maintenance,0.008437565061169204,-0.009337719020957126,0.01816369365124842,0.2709998106077543,-0.010925532903590747,0.008156486550593204,0.016700494749655737,0.07398992394905621,-0.013256116746405505,1.0,0.0440374237690731
anomaly,0.03662564766054059,0.009781367165301074,0.1922784714101616,0.5058860675328369,-0.20712281256710874,0.08734307540513989,0.07005844925361501,0.23497170563027628,-0.1829927263772467,0.0440374237690731,1.0
