feature,reference_mean,drifted_mean,mean_shift_percent,psi,severity
flow_rate,123.25073124307607,115.95792085010547,-5.9170524340238355,2.2696044241191156,high
temperature,74.4830335353774,81.4552992335766,9.360877729137549,1.0864634825611346,high
vibration,3.2079552422603665,3.960186018788758,23.448917448061398,0.86541237139354,high
acoustic_level,65.85865901692597,68.66555216807751,4.261995602476749,0.6121080111707149,high
ambient_temperature,23.893209424289992,27.72420321354683,16.033818317275635,0.547609776044836,high
hours_since_maintenance,995.2212466392175,1296.9116573083675,30.31390373627315,0.4405928577456268,high
pressure,7.031113625184089,6.712317595231824,-4.534075922346053,0.4378489063206339,high
operating_load,0.6479760536519427,0.7248756912143242,11.867666579494893,0.20467302321055014,moderate
motor_current,42.438591544897534,45.76412392862279,7.836104504568761,0.18049172823361076,moderate
rpm,2321.2737962224055,2401.9426084828856,3.4751959200917573,0.08996948668290114,low
